UUID,Qty,Self Sourced,Value,Device,Package,Parts
L-2020-34,1,,,ADXL362,LGA-16,IC2
L-2020-48,1,,,Atmega 328PB,TQFP-32,IC1
R-2019-07,5,,,EVP-BFAC1A00,BTN,"RESET, RESET_STEPS, MENU,  DOWN, UP"
L-2019-90,1,,CR2032,BC-2003,,BT1
L-2020-57,1,,128x32,OLED,,DISPLAY
R-2019-01,3,,100nF,C-USC0805,C0805,"C1,C2,C6"
R-2019-30,1,,4.7k,R-EU_R0805,R0805,R1
,1,Y,,M-2X03-DIL-2MM,TH,ISP_HEADER
